sigma2,alpha,distance,ours_node,ours_block,fgw_node,fgw_block
0.0,0.0,geodesic,0.009053497942386832,1.0,,
0.0,0.0,heat,0.013168724279835392,1.0,,
0.0,0.5,geodesic,1.0,1.0,0.9917695473251029,1.0
0.0,0.5,heat,0.9967078189300412,1.0,0.013168724279835392,1.0
0.0,1.0,geodesic,1.0,1.0,0.988477366255144,0.9950617283950617
0.0,1.0,heat,0.0,0.11604938271604937,0.005761316872427985,0.3547325102880658
1.0,0.0,geodesic,1.0,1.0,,
1.0,0.0,heat,1.0,1.0,,
1.0,0.5,geodesic,1.0,1.0,1.0,1.0
1.0,0.5,heat,1.0,1.0,1.0,1.0
1.0,1.0,geodesic,1.0,1.0,0.974485596707819,0.9835390946502057
1.0,1.0,heat,0.0,0.13004115226337448,0.005761316872427984,0.33415637860082303
